ubicado_en_avenida,empresa_recolectora_de_dinero,abierto_en_fines_de_semana,dias_para_recoleccion_de_dinero,municipio,cantidad_de_camaras,banco_inseguro,cantidad_de_empleados
Falso,Touché-Coulé,,7.0,zapopan,N.A.,0,hay 6.5 trabajadores para los dias habiles
NA,Touché-Coulé,,21.0,Guadalajara,N.A.,1,8 Trabajadores
Falso,Touché-Coulé,,18.0,zapopan,N.A.,0,hay 10 trabajadores para los dias habiles
True,Touché-Coulé,False,12.0,zapopan,6.0,0,tenemos 8.5 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,15.0,zapopan,N.A.,0,contamos con 159.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,False,16.0,Guadalajara,5.0,1,12 trabajadores
Falso,Seguristark,,25.0,Zapopan,N.A.,1,tenemos 11 trabajadores para los 7 dias de la semana
True,Seguristark,,17.0,zapopan,N.A.,0,tenemos 10.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,13.0,Guadalajara,N.A.,0,hay 7 trabajadores para los dias habiles
True,Touché-Coulé,,17.0,Guadalajara,N.A.,0,12.5 Trabajadores
True,Touché-Coulé,,14.0,Guadalajara,N.A.,0,11 trabajadores
Falso,Touché-Coulé,True,19.0,Guadalajara,3.0,1,hay 9.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,19.0,zapopan,N.A.,0,11.5 Trabajadores
True,Touché-Coulé,,9.0,Guadalajara,N.A.,0,6.5 trabajadores
Falso,Touché-Coulé,False,10.0,Guadalajara,4.0,0,tenemos 10 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,25.0,Guadalajara,N.A.,1,contamos con 8 trabajadores para los 5 dias habiles
True,Lobos,True,16.0,Guadalajara,N.A.,0,11 trabajadores
Falso,Touché-Coulé,,16.0,Guadalajara,N.A.,0,8 trabajadores
Falso,Touché-Coulé,False,18.0,Zapopan,6.0,1,contamos con 10 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,20.0,zapopan,N.A.,0,tenemos 10.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,22.0,Guadalajara,6.0,0,tenemos 12 trabajadores para los 7 dias de la semana
NA,Lobos,,14.0,Guadalajara,N.A.,0,hay 7.5 trabajadores para los dias habiles
True,Touché-Coulé,,24.0,Guadalajara,N.A.,1,hay 9.5 trabajadores para los dias habiles
Falso,Seguristark,,15.0,Guadalajara,N.A.,1,12.5 trabajadores
True,Seguristark,True,15.0,Guadalajara,5.0,0,tenemos 9 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,19.0,zapopan,3.0,1,tenemos 9 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,16.0,Guadalajara,7.0,0,9.5 Trabajadores
Falso,Touché-Coulé,True,11.0,Guadalajara,6.0,0,hay 7.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,0,hay 11.5 trabajadores para los dias habiles
True,Touché-Coulé,,16.0,Guadalajara,N.A.,1,12.5 trabajadores
NA,Touché-Coulé,,15.0,zapopan,N.A.,0,hay 159.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,0,10.5 trabajadores
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,0,13.5 trabajadores
Falso,Touché-Coulé,,15.0,zapopan,N.A.,1,hay 12 trabajadores para los dias habiles
NA,Touché-Coulé,,12.0,Guadalajara,N.A.,0,hay 8.5 trabajadores para los dias habiles
Falso,Touché-Coulé,False,11.0,Guadalajara,4.0,1,10.5 Trabajadores
True,Touché-Coulé,True,13.0,Guadalajara,8.0,0,11.5 trabajadores
NA,Touché-Coulé,,17.0,Guadalajara,N.A.,0,tenemos 10 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,17.0,Zapopan,N.A.,1,13 trabajadores
Falso,Touché-Coulé,False,14.0,Guadalajara,6.0,0,tenemos 8 trabajadores para los 7 dias de la semana
Falso,Seguristark,,10.0,Zapopan,N.A.,0,hay 4.5 trabajadores para los dias habiles
True,Touché-Coulé,True,26.0,Guadalajara,6.0,1,12.5 Trabajadores
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,0,tenemos 10 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,11.0,Guadalajara,N.A.,0,contamos con 9.5 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,16.0,Guadalajara,N.A.,1,contamos con 12 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,21.0,Guadalajara,N.A.,1,hay 10.5 trabajadores para los dias habiles
True,Touché-Coulé,False,12.0,Guadalajara,5.0,1,10.5 trabajadores
True,Touché-Coulé,,17.0,Guadalajara,N.A.,0,9.5 trabajadores
NA,Touché-Coulé,,12.0,zapopan,N.A.,0,hay 10 trabajadores para los dias habiles
NA,Touché-Coulé,,21.0,Zapopan,N.A.,1,9.5 trabajadores
