,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
0,0,0,14DJN0128O,MATUTINO,JUAN_DE_LA_BARRERA,ARQUIMEDES_723,1,GUADALAJARA,9386,HERMOSA_PROVINCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
1,1,1,14DJN0129N,MATUTINO,JOSEFA_ORTIZ_DE_DOMINGUEZ,OBREGON_70,1,AUTLAN_DE_NAVARRO,0,0,15,AUTLAN_DE_NAVARRO,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
2,2,2,14DJN0130C,MATUTINO,ROSAURA_ZAPATA,PEDRO_CELESTINO_NEGRETE_144,1,GUADALAJARA,9417,OBLATOS,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
3,3,3,14DJN0132A,MATUTINO,UNIDAD_MODELO,UNIDAD_MODELO,1,GUADALAJARA,9445,UNIDAD_MODELO,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
4,4,4,14DJN0133Z,MATUTINO,CIPRIANA_GUTIERREZ_RODRIGUEZ,GREGORIO_DAVILA_1081,1,GUADALAJARA,9061,MEZQUITAN_COUNTRY,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
5,5,5,14DJN0134Z,MATUTINO,ROSAURA_ZAPATA,CONOCIDO,40,IZOLTA,0,0,115,VILLA_GUERRERO,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
6,6,6,14DJN0135Y,MATUTINO,FERNANDO_AMILPA,FIDEL_VELAZQUEZ_1529,1,GUADALAJARA,9389,ATEMAJAC,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
7,7,7,14DJN0136X,MATUTINO,MIGUEL_HIDALGO_Y_COSTILLA,NACIONAL_248,11,GENERAL_ANDRES_FIGUEROA,0,0,119,ZACOALCO_DE_TORRES,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
8,8,8,14DJN0137W,MATUTINO,MANUEL_LOPEZ_COTILLA,NICOLAS_BRAVO_40,1,ZAPOTLANEJO,0,0,124,ZAPOTLANEJO,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
9,9,9,14DJN0138V,MATUTINO,VIRGINIA_GALLARDO,LERDO_DE_TEJADA_60,1,TEQUILA,9000,TEQUILA,94,TEQUILA,FEDERALIZADO,PREESCOLAR,GENERAL,,,,
