,Unnamed: 0,Unnamed: 0.1,nivel,clave_de_la_escuela,turno,alumnos_programados_prueba,porcentaje_de_evaluados_lenguaje_y_comunicacian,porcentaje_de_evaluados_matematicas,la_prueba_es_representativa_leguaje_y_comunicacian,la_prueba_es_representativa__matematicas,informacion_poco_confiable_lenguaje_y_comunicacian,informacion_poco_confiable_matematicas,nivel_i_lenguaje_y_comunicacian_(%),nivel_ii_lenguaje_y_comunicacian_(%),nivel_iii_lenguaje_y_comunicacian_(%),nivel_iv_lenguaje_y_comunicacian_(%),nivel_predominante_lenguaje_y_comunicacian,nivel_i_matematicas_(%),nivel_ii_matematicas_(%),nivel_iii_matematicas_(%),nivel_iv_matematicas_(%),nivel_predominante_matematicas
0,0,0,PRIMARIA,14DPB0001Y,MATUTINO,12,83.3,83.3,SI,SI,NO,NO,90.0,10.0,,,I,100.0,,,,I
1,1,1,PRIMARIA,14DPB0002X,COMPLETO,58,96.6,96.6,SI,SI,NO,NO,98.2,1.8,,,I,78.6,17.9,3.6,,I
2,2,2,PRIMARIA,14DPB0004V,MATUTINO,13,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
3,3,3,PRIMARIA,14DPB0005U,MATUTINO,12,91.7,91.7,SI,SI,NO,NO,90.9,9.1,,,I,90.9,9.1,,,I
4,4,4,PRIMARIA,14DPB0006T,COMPLETO,35,94.3,94.3,SI,SI,NO,NO,97.0,3.0,,,I,87.9,12.1,,,I
5,5,5,PRIMARIA,14DPB0007S,COMPLETO,35,100.0,100.0,SI,SI,SI,NO,82.9,14.3,2.9,,I,88.6,8.6,2.9,,I
6,6,6,PRIMARIA,14DPB0008R,MATUTINO,6,83.3,83.3,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
7,7,7,PRIMARIA,14DPB0009Q,MATUTINO,6,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
8,8,8,PRIMARIA,14DPB0010F,MATUTINO,8,87.5,100.0,SI,SI,NO,NO,85.7,14.3,,,I,100.0,,,,I
9,9,9,PRIMARIA,14DPB0011E,MATUTINO,4,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,,,75.0,25.0,III
10,10,10,PRIMARIA,14DPB0012D,MATUTINO,10,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
11,11,11,PRIMARIA,14DPB0013C,COMPLETO,35,100.0,100.0,SI,SI,NO,NO,94.3,,5.7,,I,62.9,20.0,5.7,11.4,I
12,12,12,PRIMARIA,14DPB0014B,COMPLETO,35,97.1,97.1,SI,SI,NO,NO,88.2,11.8,,,I,85.3,14.7,,,I
13,13,13,PRIMARIA,14DPB0016Z,COMPLETO,17,88.2,88.2,SI,SI,SI,NO,100.0,,,,I,100.0,,,,I
14,14,14,PRIMARIA,14DPB0017Z,COMPLETO,5,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
15,15,15,PRIMARIA,14DPB0018Y,COMPLETO,14,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
16,16,16,PRIMARIA,14DPB0019X,COMPLETO,7,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
17,17,17,PRIMARIA,14DPB0020M,COMPLETO,8,100.0,100.0,SI,SI,NO,NO,100.0,,,,I,62.5,25.0,12.5,,I
18,18,18,PRIMARIA,14DPB0022K,COMPLETO,35,82.9,94.3,SI,SI,NO,NO,100.0,,,,I,90.9,9.1,,,I
19,19,19,PRIMARIA,14DPB0023J,COMPLETO,14,92.9,92.9,SI,SI,NO,NO,100.0,,,,I,100.0,,,,I
