,Unnamed: 0,Unnamed: 0.1,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,inversion_pec_2013,inversion_pec_2014,inversion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas,beneficiarios_alimentos_dif_2014_digit,aulas_interactivas_observacion_aulas,aulas_interactivas_observacion_por_sustituir,aulas_interactivas_observacion_sust_2013,aulas_interactivas_observacion_sust_2014,aulas_interactivas_observacion_sust_2015,aulas_interactivas_observacion_otro_uso,aulas_provisionales_observacion_aulas,aulas_provisionales_observacion_por_sustituir,aulas_provisionales_observacion_sust_2013,aulas_provisionales_observacion_sust_2014,aulas_provisionales_observacion_sust_2015,aulas_provisionales_observacion_otro_uso,conectividad_mbs,observacion_pec2013_pec2013,observacion_pec2014_pec2014,observacion_mobiliario_piezas,observacion_mobiliario_alumnos,observacion_mobiliario_matricula,inmueble_cleaned,director_cleaned,responsable_cleaned,turno_cleaned,nombre_ct_cleaned,nivel_cleaned
0,0,0,AHUALULCO DE MERCADO,14DPR0273Q,R,MATUTINO,5 DE MAYO,ANGELICA IVETT FLORES CARDENAS,PRIMARIA,329.0,12.0,12.0,12.0,12.0,90000.0,180000.0,,,,,,,,,381698.49,,,,,,,,,,999999.14,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,,,569.0,304.0,304.0,1406848k,angelica_ivett_flores_cardenas,r,matutino,5_de_mayo,primaria
1,1,1,AHUALULCO DE MERCADO,14EPR0482V,R,MATUTINO,VALENTIN GOMEZ FARIAS,MARIA EDITH CRUZ CASTAÃÂÃÂEDA,PRIMARIA,94.0,6.0,6.0,6.0,6.0,90000.0,179999.93,,,,,,,50000.0,,123492.25,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,94.0,,179.0,93.0,93.0,1406850c,maria_edith_cruz_castaaaeda,r,matutino,valentin_gomez_farias,primaria
2,2,2,AHUALULCO DE MERCADO,14EJN0200G,R,MATUTINO,EMILIANO ZAPATA,HILDA GARCIA VEGA,PREESCOLAR,144.0,5.0,5.0,5.0,5.0,90000.0,180000.0,,,,,,,90000.0,,96589.8,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,2.0,144.0,,204.0,142.0,142.0,1406852k,hilda_garcia_vega,r,matutino,emiliano_zapata,preescolar
3,3,3,AHUALULCO DE MERCADO,14DJN0155L,R,MATUTINO,JAVIER URIBE,MARIA ELENA ARELLANO NUÃÂÃÂEZ,PREESCOLAR,111.0,4.0,4.0,4.0,4.0,,,,,,,,,,,79304.16,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,,,168.0,117.0,117.0,1406854h,maria_elena_arellano_nuaaez,r,matutino,javier_uribe,preescolar
4,4,4,AHUALULCO DE MERCADO,14EPR0014B,R,MATUTINO,JOSE MA MERCADO,MARIA CONSEPCION PINZON RODRIGUEZ,PRIMARIA,289.0,12.0,12.0,12.0,12.0,,,,,,,,,,58900.0,349018.43,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,2.0,,289.0,518.0,276.0,344.0,1406855a,maria_consepcion_pinzon_rodriguez,r,matutino,jose_ma_mercado,primaria
5,5,5,AHUALULCO DE MERCADO,14EPR0347Q,L,VESPERTINO,PATRIA,JESUS OMAR CERVANTES VALDERRAMA,PRIMARIA,72.0,6.0,6.0,12.0,6.0,,,,,,,,,60000.0,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,72.0,68.0,,,,1406855a,jesus_omar_cervantes_valderrama,l,vespertino,patria,primaria
6,6,6,AHUALULCO DE MERCADO,14EPR1183D,R,MATUTINO,LEONARDO OLIVA,MARGARITA OLIVA HERNANDEZ,PRIMARIA,313.0,12.0,12.0,12.0,12.0,,,,,,,,,60000.0,71300.0,369267.14,,,10000.0,,,,,,,,,,,,506607.84,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,313.0,313.0,550.0,294.0,391.0,1406856e,margarita_oliva_hernandez,r,matutino,leonardo_oliva,primaria
7,7,7,AHUALULCO DE MERCADO,14EPR0388Q,L,VESPERTINO,LUIS MANUEL ROJAS ARRIOLA,GILBERTO PONCE,PRIMARIA,77.0,6.0,6.0,14.0,6.0,,,,,,,,,,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,2.0,,97.0,,,,1406856e,gilberto_ponce,l,vespertino,luis_manuel_rojas_arriola,primaria
8,8,8,AHUALULCO DE MERCADO,14DJN0424P,R,MATUTINO,QUETZALCOATL,SARAYN MATA RAMOS,PREESCOLAR,94.0,4.0,4.0,4.0,4.0,,,,,,,,,,,64896.96,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,2.0,,,132.0,90.0,145.0,1406857x,sarayn_mata_ramos,r,matutino,quetzalcoatl,preescolar
9,9,9,AHUALULCO DE MERCADO,14DJN1423X,L,VESPERTINO,QUETZALCOATL,GRACIELA CONTRERAS GUERRERO,PREESCOLAR,57.0,3.0,3.0,4.0,3.0,,,,,,,,,64000.0,57400.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,57.0,55.0,,,,1406857x,graciela_contreras_guerrero,l,vespertino,quetzalcoatl,preescolar
