edad,salario_anterior,dependientes,estatura,primer_salario,siguiente_salario
40.0,28757.0,2.0,1.5094993002463988,3678.0,27601.0
42.0,26545.0,2.0,1.5515499540798183,6505.0,38660.0
34.0,33445.0,3.0,1.4857427251434725,5656.0,48274.0
52.0,31663.0,2.0,1.5672564963452924,7509.0,51271.0
46.0,32577.0,2.0,1.4085501631482154,5836.0,42736.0
46.0,46814.0,3.0,1.6540682664269197,6075.0,60244.0
44.0,26609.0,2.0,1.547666350695202,5254.0,31872.0
52.0,24508.0,1.0,1.4975035839093345,3980.0,24324.0
31.0,36503.0,2.0,1.6049670718634588,6944.0,46722.0
36.0,11432.0,2.0,1.4904467659070961,5548.0,22793.0
45.0,36690.0,3.0,1.6545692279493611,5704.0,53464.0
41.0,29426.0,2.0,1.6124655474230483,5104.0,35117.0
38.0,32196.0,3.0,1.5405821579272911,5426.0,43905.0
37.0,29798.0,3.0,1.539152172240438,5858.0,46721.0
65.0,31614.0,4.0,1.483636062144291,4578.0,57324.0
35.0,31304.0,2.0,1.6236116960961224,5192.0,37476.0
41.0,25819.0,3.0,1.5189164165251987,6885.0,47123.0
42.0,33569.0,3.0,1.5865617885720806,7161.0,56529.0
30.0,24001.0,2.0,1.5930642833735575,5584.0,33629.0
45.0,32171.0,1.0,1.6852821532956113,5644.0,30384.0
47.0,40833.0,4.0,1.5768668165453745,3834.0,59318.0
39.0,33851.0,2.0,1.5003531993862298,6486.0,46229.0
36.0,30512.0,3.0,1.5462622527216743,4811.0,44402.0
54.0,32617.0,3.0,1.6018815568960723,4476.0,43309.0
40.0,28635.0,5.0,1.46966362914422,6081.0,62026.0
49.0,36871.0,2.0,1.624155406262553,3498.0,39225.0
43.0,30441.0,3.0,1.5746271092023036,6009.0,46505.0
34.0,24057.0,3.0,1.5785232518809393,5165.0,35165.0
41.0,28515.0,4.0,1.6082643040295328,2756.0,41136.0
38.0,31176.0,1.0,1.6027970745467852,4053.0,28286.0
36.0,31410.0,2.0,1.551744762288434,6805.0,45535.0
39.0,17275.0,3.0,1.5060514331697241,7010.0,36759.0
40.0,30796.0,2.0,1.5121472053271496,8946.0,53059.0
52.0,36331.0,2.0,1.5069536179858103,6540.0,47211.0
41.0,19869.0,2.0,1.6062118811436816,6966.0,38553.0
29.0,18635.0,2.0,1.580947463417739,8467.0,39152.0
49.0,25352.0,3.0,1.5425766229824496,5906.0,41288.0
36.0,24461.0,3.0,1.5724737087707832,4807.0,35489.0
35.0,34814.0,2.0,1.588551649376409,4384.0,40550.0
35.0,27417.0,3.0,1.3877313884738032,6052.0,45010.0
41.0,23003.0,2.0,1.5274786807927925,6381.0,37971.0
38.0,28696.0,4.0,1.639844971615116,4920.0,47623.0
34.0,20189.0,3.0,1.5023106672432307,6076.0,41213.0
45.0,24150.0,2.0,1.4177148952038245,4580.0,33346.0
48.0,26273.0,3.0,1.527806549754144,4379.0,39226.0
44.0,26985.0,4.0,1.6378156853126256,5651.0,49010.0
40.0,32162.0,3.0,1.6340497198261732,5031.0,42275.0
47.0,38090.0,3.0,1.5092886620214718,5212.0,50663.0
54.0,28556.0,2.0,1.4563088601063723,4279.0,36848.0
47.0,30799.0,3.0,1.5840163810751948,6026.0,45597.0
42.0,21967.0,4.0,1.5476623787150852,6718.0,52376.0
49.0,19563.0,3.0,1.598499376260675,5696.0,42113.0
48.0,23170.0,2.0,1.6651101462348064,4242.0,27749.0
37.0,24110.0,3.0,1.593956180329947,6241.0,41730.0
42.0,29402.0,3.0,1.613942463441131,4899.0,46938.0
30.0,30783.0,2.0,1.5566522869274506,7630.0,46223.0
31.0,28428.0,2.0,1.5121688877867194,4824.0,32564.0
